OBSNUM	XVAL	PROB_AVG	AREA1	AREACORR	AREATOT	PERCENT
108	0.54	0.0138014589197233	6.90072945986164e-05	7.01186182442751e-05	0.00275251543792786	1.35
109	0.545	0.0140243158077935	7.01215790389675e-05	7.12388242740109e-05	0.00282375426220187	1.3625
110	0.55	0.0142483503930099	7.12417519650497e-05	7.23648525821709e-05	0.00289611911478404	1.375
111	0.555	0.0144735494706995	7.23677473534975e-05	7.3496637513272e-05	0.00296961575229731	1.3875
112	0.56	0.0146998999096046	7.34994995480229e-05	7.46341137772993e-05	0.00304424986607461	1.4
113	0.565	0.0149273886515619	7.46369432578093e-05	7.57772164481058e-05	0.00312002708252271	1.4125
114	0.57	0.0151560027111822	7.57800135559112e-05	7.69258809618185e-05	0.00319695296348453	1.425
115	0.575	0.015385729175532	7.69286458776599e-05	7.808004311525e-05	0.00327503300659978	1.4375
116	0.58	0.0156165552038152	7.80827760190758e-05	7.92396390643175e-05	0.0033542726456641	1.45
117	0.585	0.0158484680270573	7.92423401352866e-05	8.04046053224663e-05	0.00343467725098657	1.4625
118	0.59	0.0160814549477902	8.04072747389512e-05	8.15748787591007e-05	0.00351625212974567	1.475
119	0.595	0.0163155033397381	8.15775166986907e-05	8.27503965980202e-05	0.00359900252634369	1.4875
120	0.6	0.0165506006475049	8.27530032375244e-05	8.39310964158622e-05	0.00368293362275955	1.5
121	0.605	0.0167867343862625	8.39336719313123e-05	8.51169161405503e-05	0.0037680505389001	1.5125
122	0.61	0.0170238921414408	8.51194607072039e-05	8.63077940497491e-05	0.00385435833294985	1.525
123	0.615	0.0172620615684185	8.63103078420924e-05	8.75036687693244e-05	0.00394186200171917	1.5375
124	0.62	0.0175012303922151	8.75061519610756e-05	8.87044792718099e-05	0.00403056648099098	1.55
125	0.625	0.0177413864071843	8.87069320359217e-05	8.99101648748795e-05	0.00412047664586586	1.5625
126	0.63	0.0179825174767085	8.99125873835423e-05	9.11206652398256e-05	0.00421159731110569	1.575
127	0.635	0.0182246115328941	9.11230576644704e-05	9.23359203700432e-05	0.00430393323147573	1.5875
128	0.64	0.0184676565762689	9.23382828813446e-05	9.35558706095203e-05	0.00439748910208525	1.6
129	0.645	0.0187116406754799	9.35582033773994e-05	9.47804566413332e-05	0.00449226955872659	1.6125
130	0.65	0.0189565519669921	9.47827598349606e-05	9.60096194861491e-05	0.00458827917821274	1.625
131	0.655	0.0192023786547895	9.60118932739476e-05	9.7243300500733e-05	0.00468552247871347	1.6375
132	0.66	0.0194491090100761	9.72455450503806e-05	9.84814413764613e-05	0.00478400392008993	1.65
133	0.665	0.0196967313709788	9.84836568548942e-05	9.97239841378408e-05	0.00488372790422777	1.6625
134	0.67	0.0199452341422513	9.97261707112563e-05	0.000100970871141034	0.0049846987753688	1.675
